nombre,n_fragmentos,tiempo_indexacion_s,dimension_vector,costo_indexacion_usd,costo_por_1000_consultas_usd,n_preguntas_dominio,n_preguntas_fuera_dominio,recall_at_1,recall_at_3,recall_at_5,abstenciones_correctas,abstenciones_incorrectas,tasa_abstencion_correcta_pct,tasa_abstencion_incorrecta_pct,latencia_ms_promedio_consulta
local (multilingual-e5-small),751,28.58,384,0.0,0.0,21,5,0.571,0.762,0.905,5,12,100.0,57.1,21.0
"API (gemini-embedding-2, capa gratuita)",751,838.14,3072,0.0,0.0,21,5,0.667,0.857,0.905,5,21,100.0,100.0,745.8
